referrer,views_total,views_unique
Google,127,20
python.org,123,42
github.com,85,19
tianocore.org,60,4
Bing,45,4
en.wikipedia.org,42,19
en.m.wikipedia.org,25,15
chipsec.github.io,18,3
discuss.python.org,15,5
damn99.com,12,1
