time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-24 00:00:00+00:00,36,13,48,19
2023-05-25 00:00:00+00:00,37,13,145,25
2023-05-26 00:00:00+00:00,43,14,77,21
2023-05-27 00:00:00+00:00,395,12,43,15
2023-05-28 00:00:00+00:00,10,9,67,9
2023-05-29 00:00:00+00:00,213,28,31,12
2023-05-30 00:00:00+00:00,47,26,52,15
2023-05-31 00:00:00+00:00,84,16,97,22
2023-06-01 00:00:00+00:00,47,17,77,20
2023-06-02 00:00:00+00:00,69,15,71,16
2023-06-03 00:00:00+00:00,21,7,9,6
2023-06-04 00:00:00+00:00,17,8,38,10
2023-06-05 00:00:00+00:00,32,16,98,20
2023-06-06 00:00:00+00:00,19,12,79,27
