time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-26 00:00:00+00:00,102,60,137,22
2024-02-27 00:00:00+00:00,90,61,79,16
2024-02-28 00:00:00+00:00,89,64,289,17
2024-02-29 00:00:00+00:00,87,59,340,17
2024-03-01 00:00:00+00:00,78,51,41,13
2024-03-02 00:00:00+00:00,47,41,42,13
2024-03-03 00:00:00+00:00,38,38,8,5
2024-03-04 00:00:00+00:00,96,54,78,17
2024-03-05 00:00:00+00:00,96,52,320,19
2024-03-06 00:00:00+00:00,109,55,213,30
2024-03-07 00:00:00+00:00,109,59,240,21
2024-03-08 00:00:00+00:00,78,50,58,20
2024-03-09 00:00:00+00:00,47,41,24,10
2024-03-10 00:00:00+00:00,75,43,42,7
