referrer,views_total,views_unique
Google,292,27
python.org,163,40
github.com,123,23
en.wikipedia.org,71,21
yandex.ru,52,1
en.m.wikipedia.org,36,16
discuss.python.org,16,4
edk2.groups.io,14,3
damn99.com,13,1
tianocore.org,9,1
