url_path,views_total,views_unique
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,268,102
/tianocore/edk2-libc,151,94
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,91,23
/tianocore/edk2-libc/tree/master/StdLib,81,25
/tianocore/edk2-libc/tree/master/AppPkg,55,20
/tianocore/edk2-libc/tree/master/AppPkg/Applications,42,15
/tianocore/edk2-libc/tree/master/StdLib/LibC,35,12
/tianocore/edk2-libc/tree/master,20,14
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Python368.inf,19,4
/tianocore/edk2-libc/blob/master/Readme.md,17,6
