url_path,views_total,views_unique
/tianocore/edk2-libc,161,102
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,117,101
/tianocore/edk2-libc/tree/master/StdLib,25,18
/tianocore/edk2-libc/tree/master/AppPkg,22,19
/tianocore/edk2-libc/tree/master,22,14
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,18,15
/tianocore/edk2-libc/tree/master/AppPkg/Applications,17,12
/tianocore/edk2-libc/releases/tag/v3.6.8.1,15,9
/tianocore/edk2-libc/pulls,15,3
/tianocore/edk2-libc/releases,11,7
