time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-25 00:00:00+00:00,2,2,32,8
2023-06-26 00:00:00+00:00,44,10,26,13
2023-06-27 00:00:00+00:00,51,14,39,18
2023-06-28 00:00:00+00:00,38,23,37,17
2023-06-29 00:00:00+00:00,37,16,61,19
2023-06-30 00:00:00+00:00,70,21,38,18
2023-07-01 00:00:00+00:00,16,10,35,10
2023-07-02 00:00:00+00:00,6,5,10,6
2023-07-03 00:00:00+00:00,57,12,27,14
2023-07-04 00:00:00+00:00,79,12,34,20
2023-07-05 00:00:00+00:00,62,12,72,20
2023-07-06 00:00:00+00:00,79,19,104,17
2023-07-07 00:00:00+00:00,48,12,201,22
2023-07-08 00:00:00+00:00,10,5,18,11
