referrer,views_total,views_unique
python.org,286,60
Google,120,21
github.com,67,20
en.wikipedia.org,40,30
Bing,29,6
ithelp.ithome.com.tw,15,2
wiki.ith.intel.com,9,1
chipsec.github.io,8,5
en.m.wikipedia.org,6,6
link.zhihu.com,6,2
