referrer,views_total,views_unique
Google,140,20
python.org,46,21
github.com,41,13
Bing,28,7
chipsec.github.io,10,4
sourceforge.net,4,1
en.wikipedia.org,2,2
DuckDuckGo,2,1
link.csdn.net,2,1
ya.ru,2,1
