time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-24 00:00:00+00:00,208,110,35,17
2025-03-25 00:00:00+00:00,253,119,61,21
2025-03-26 00:00:00+00:00,139,80,115,23
2025-03-27 00:00:00+00:00,97,75,29,11
2025-03-28 00:00:00+00:00,202,159,71,14
2025-03-29 00:00:00+00:00,50,47,170,11
2025-03-30 00:00:00+00:00,71,64,22,10
2025-03-31 00:00:00+00:00,55,48,93,21
2025-04-01 00:00:00+00:00,52,41,66,27
2025-04-02 00:00:00+00:00,114,99,54,16
2025-04-03 00:00:00+00:00,75,60,47,13
2025-04-04 00:00:00+00:00,76,60,21,8
2025-04-05 00:00:00+00:00,58,52,52,6
2025-04-06 00:00:00+00:00,38,36,17,8
