referrer,views_total,views_unique
python.org,120,41
Google,91,29
github.com,49,20
edk2.groups.io,34,5
en.wikipedia.org,29,23
discuss.python.org,19,5
s1monsays.com,14,3
Bing,13,8
cn.bing.com,13,4
ithelp.ithome.com.tw,12,3
