referrer,views_total,views_unique
python.org,224,46
Google,171,33
github.com,87,26
en.wikipedia.org,70,22
wiki.ith.intel.com,42,2
ithelp.ithome.com.tw,39,6
discuss.python.org,28,3
en.m.wikipedia.org,25,11
tianocore.org,22,1
yandex.ru,22,1
