referrer,views_total,views_unique
Google,73,27
python.org,67,36
github.com,58,23
en.wikipedia.org,45,23
edk2.groups.io,34,5
Bing,21,9
ithelp.ithome.com.tw,20,2
discuss.python.org,19,5
cn.bing.com,16,6
DuckDuckGo,13,1
