referrer,views_total,views_unique
python.org,182,67
Google,111,19
github.com,74,27
en.wikipedia.org,37,25
cn.bing.com,20,6
Bing,19,4
chipsec.github.io,18,6
wiki.ith.intel.com,9,1
en.m.wikipedia.org,8,8
ithelp.ithome.com.tw,7,3
