time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,336,288,9,6
2026-06-26 00:00:00+00:00,790,671,38,11
2026-06-27 00:00:00+00:00,108,92,18,8
2026-06-28 00:00:00+00:00,99,89,6,4
2026-06-29 00:00:00+00:00,347,285,50,14
2026-06-30 00:00:00+00:00,474,389,85,21
2026-07-01 00:00:00+00:00,187,124,34,12
2026-07-02 00:00:00+00:00,267,236,32,8
2026-07-03 00:00:00+00:00,489,419,33,16
2026-07-04 00:00:00+00:00,112,94,18,13
2026-07-05 00:00:00+00:00,94,90,8,4
2026-07-06 00:00:00+00:00,161,146,48,22
2026-07-07 00:00:00+00:00,207,144,87,14
2026-07-08 00:00:00+00:00,145,110,18,9
