url_path,views_total,views_unique
/tianocore/edk2-libc,126,73
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,100,88
/tianocore/edk2-libc/releases/tag/v3.6.8.1,63,15
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,31,17
/tianocore/edk2-libc/tree/master/AppPkg,28,18
/tianocore/edk2-libc/tree/master,17,13
/tianocore/edk2-libc/tree/master/AppPkg/Applications,15,12
/tianocore/edk2-libc/tree/master/StdLib,14,11
/tianocore/edk2-libc/releases,8,5
/tianocore/edk2-libc/tree/master/StdLib/LibC,6,5
