referrer,views_total,views_unique
python.org,358,61
github.com,185,17
Google,138,24
en.wikipedia.org,112,29
wiki.insyde.com,80,1
en.m.wikipedia.org,54,17
chipsec.github.io,43,4
lab-z.com,19,2
wiki.ith.intel.com,19,2
uefi.org,15,3
