time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-26 00:00:00+00:00,4,4,27,11
2025-01-27 00:00:00+00:00,14,10,36,16
2025-01-28 00:00:00+00:00,27,12,84,24
2025-01-29 00:00:00+00:00,30,15,48,17
2025-01-30 00:00:00+00:00,86,51,61,14
2025-01-31 00:00:00+00:00,115,99,49,14
2025-02-01 00:00:00+00:00,35,30,8,7
2025-02-02 00:00:00+00:00,30,28,14,9
2025-02-03 00:00:00+00:00,64,44,121,20
2025-02-04 00:00:00+00:00,104,38,99,26
2025-02-05 00:00:00+00:00,85,52,200,25
2025-02-06 00:00:00+00:00,80,40,102,18
2025-02-07 00:00:00+00:00,140,76,325,22
2025-02-08 00:00:00+00:00,42,31,34,16
