referrer,views_total,views_unique
Google,305,27
python.org,177,39
github.com,132,25
en.wikipedia.org,94,28
yandex.ru,52,1
en.m.wikipedia.org,28,12
discuss.python.org,26,5
edk2.groups.io,14,3
tianocore.org,9,1
Bing,7,3
