url_path,views_total,views_unique
/tianocore/edk2-libc,106,67
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,40,33
/tianocore/edk2-libc/tree/master/StdLib,22,7
/tianocore/edk2-libc/tree/master/AppPkg/Applications,18,10
/tianocore/edk2-libc/tree/master/AppPkg,16,10
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,12,9
/tianocore/edk2-libc/tree/master/StdLib/LibC,11,2
/tianocore/edk2-libc/tree/master/StdLibPrivateInternalFiles/Include,10,2
/tianocore/edk2-libc/tree/master,9,2
/tianocore/edk2-libc/pulls,8,3
