referrer,views_total,views_unique
Google,93,20
python.org,59,34
github.com,45,17
Bing,16,5
en.wikipedia.org,9,8
en.m.wikipedia.org,6,3
uefi.org,6,1
yandex.ru,5,2
ithelp.ithome.com.tw,4,1
chipsec.github.io,3,3
