time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-13 00:00:00+00:00,43,34,12,9
2025-07-14 00:00:00+00:00,124,78,28,16
2025-07-15 00:00:00+00:00,103,59,35,14
2025-07-16 00:00:00+00:00,119,57,60,17
2025-07-17 00:00:00+00:00,127,65,36,13
2025-07-18 00:00:00+00:00,153,80,42,10
2025-07-19 00:00:00+00:00,62,45,10,8
2025-07-20 00:00:00+00:00,45,38,17,8
2025-07-21 00:00:00+00:00,111,54,50,18
2025-07-22 00:00:00+00:00,111,64,26,14
2025-07-23 00:00:00+00:00,177,107,121,13
2025-07-24 00:00:00+00:00,131,70,55,15
2025-07-25 00:00:00+00:00,127,77,42,15
2025-07-26 00:00:00+00:00,101,78,76,14
