referrer,views_total,views_unique
Google,81,25
python.org,72,28
github.com,30,15
en.wikipedia.org,21,16
wiki.ith.intel.com,14,1
en.m.wikipedia.org,11,7
chipsec.github.io,10,5
s1monsays.com,10,1
Bing,8,3
chatgpt.com,6,3
