time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-29 00:00:00+00:00,25,9,70,19
2024-07-30 00:00:00+00:00,52,22,202,21
2024-07-31 00:00:00+00:00,25,10,71,21
2024-08-01 00:00:00+00:00,26,13,53,23
2024-08-02 00:00:00+00:00,27,19,66,11
2024-08-03 00:00:00+00:00,6,5,74,13
2024-08-04 00:00:00+00:00,9,8,44,7
2024-08-05 00:00:00+00:00,29,14,80,18
2024-08-06 00:00:00+00:00,28,11,131,20
2024-08-07 00:00:00+00:00,21,14,158,24
2024-08-08 00:00:00+00:00,26,15,118,21
2024-08-09 00:00:00+00:00,30,16,97,16
2024-08-10 00:00:00+00:00,5,3,31,9
2024-08-11 00:00:00+00:00,8,5,15,7
