referrer,views_total,views_unique
Google,292,27
python.org,191,36
github.com,122,26
en.wikipedia.org,66,23
discuss.python.org,62,8
en.m.wikipedia.org,19,10
Bing,13,1
lab-z.com,9,3
f990335bdbb4aebc3131-b23f11c2c6da826ceb51b46551bfafdc.ssl.cf2.rackcdn.com,7,1
chipsec.github.io,6,2
