url_path,views_total,views_unique
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,251,93
/tianocore/edk2-libc,132,71
/tianocore/edk2-libc/tree/master/AppPkg,82,23
/tianocore/edk2-libc/tree/master/AppPkg/Applications,75,19
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,65,17
/tianocore/edk2-libc/tree/master/StdLib,64,17
/tianocore/edk2-libc/tree/master,33,14
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8/PyMod-3.6.8,19,4
/tianocore/edk2-libc/tree/master/StdLib/LibC,18,5
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/GCCCompilationBKMs.rst,12,4
