url_path,views_total,views_unique
/tianocore/edk2-libc,79,51
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,62,42
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,19,10
/tianocore/edk2-libc/tree/master/StdLib,15,9
/tianocore/edk2-libc/issues,11,2
/tianocore/edk2-libc/tree/master/AppPkg,10,9
/tianocore/edk2-libc/tree/master,8,6
/tianocore/edk2-libc/tree/master/AppPkg/Applications,6,6
/tianocore/edk2-libc/releases/tag/v3.6.8.1,6,5
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python,5,5
