referrer,views_total,views_unique
Google,170,21
python.org,112,41
github.com,99,23
en.wikipedia.org,74,24
discuss.python.org,61,6
Bing,27,4
DuckDuckGo,27,2
ithelp.ithome.com.tw,18,2
cn.bing.com,9,5
chipsec.github.io,5,3
