url_path,views_total,views_unique
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,250,95
/tianocore/edk2-libc,148,89
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,89,22
/tianocore/edk2-libc/tree/master/StdLib,84,25
/tianocore/edk2-libc/tree/master/AppPkg,51,18
/tianocore/edk2-libc/tree/master/AppPkg/Applications,40,14
/tianocore/edk2-libc/tree/master/StdLib/LibC,35,12
/tianocore/edk2-libc/tree/master,21,15
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python,19,7
/tianocore/edk2-libc/blob/master/Readme.md,17,6
