referrer,views_total,views_unique
github.com,100,36
Google,88,21
python.org,54,23
chipsec.github.io,10,2
statics.teams.cdn.office.net,9,2
ithelp.ithome.com.tw,5,1
link.csdn.net,3,1
Bing,2,2
discuss.python.org,1,1
oneami.atlassian.net,1,1
