referrer,views_total,views_unique
python.org,102,25
github.com,80,16
chipsec.github.io,76,7
Google,72,22
Bing,5,3
discuss.python.org,2,2
github.azc.ext.hp.com,2,1
en.wikipedia.org,1,1
