referrer,views_total,views_unique
python.org,343,54
Google,328,29
cn.bing.com,115,3
discuss.python.org,113,4
en.wikipedia.org,86,21
github.com,75,22
Bing,39,6
wiki.ith.intel.com,38,1
chipsec.github.io,34,2
en.m.wikipedia.org,22,9
