referrer,views_total,views_unique
Google,130,22
python.org,70,42
DuckDuckGo,36,4
github.com,33,17
Bing,16,7
en.wikipedia.org,5,2
statics.teams.cdn.office.net,4,3
lab-z.com,4,1
linkedin.com,3,2
chipsec.github.io,2,2
