referrer,views_total,views_unique
Google,113,15
github.com,73,27
python.org,50,21
Bing,12,6
gitlab.xpaas.lenovo.com,11,1
engage.cloud.microsoft,8,1
chipsec.github.io,6,4
ithelp.ithome.com.tw,6,3
teams.public.onecdn.static.microsoft,5,3
rndwiki-pro.its.hpecorp.net,3,1
