referrer,views_total,views_unique
Google,238,19
python.org,184,44
github.com,70,19
en.wikipedia.org,58,26
jira.cpg.dell.com,47,1
en.m.wikipedia.org,45,9
DuckDuckGo,24,1
discuss.python.org,21,2
cn.bing.com,14,6
confluence.amd.com,14,1
