time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-18 00:00:00+00:00,13,11,134,27
2024-07-19 00:00:00+00:00,21,15,74,19
2024-07-20 00:00:00+00:00,10,9,52,15
2024-07-21 00:00:00+00:00,10,10,44,11
2024-07-22 00:00:00+00:00,18,14,153,33
2024-07-23 00:00:00+00:00,28,21,148,23
2024-07-24 00:00:00+00:00,14,10,187,26
2024-07-25 00:00:00+00:00,19,12,87,13
2024-07-26 00:00:00+00:00,16,10,86,22
2024-07-27 00:00:00+00:00,7,6,17,9
2024-07-28 00:00:00+00:00,8,8,100,10
2024-07-29 00:00:00+00:00,25,9,70,19
2024-07-30 00:00:00+00:00,52,22,202,21
2024-07-31 00:00:00+00:00,24,10,69,20
