url_path,views_total,views_unique
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,207,90
/tianocore/edk2-libc,164,82
/tianocore/edk2-libc/tree/master/AppPkg,88,25
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,85,22
/tianocore/edk2-libc/tree/master/AppPkg/Applications,76,22
/tianocore/edk2-libc/tree/master/StdLib,73,18
/tianocore/edk2-libc/tree/master/StdLib/Include,42,5
/tianocore/edk2-libc/tree/master,26,19
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Main,26,8
/tianocore/edk2-libc/tree/master/StdLib/LibC,23,7
