url_path,views_total,views_unique
/tianocore/edk2-libc,155,99
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,103,86
/tianocore/edk2-libc/tree/master/AppPkg,42,27
/tianocore/edk2-libc/tree/master,36,25
/tianocore/edk2-libc/releases/tag/v3.6.8.1,35,17
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,31,23
/tianocore/edk2-libc/tree/master/StdLib,31,19
/tianocore/edk2-libc/tree/master/AppPkg/Applications,29,20
/tianocore/edk2-libc/tree/master/StdLib/LibC,19,8
/tianocore/edk2-libc/pulls,14,4
