time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-04 00:00:00+00:00,194,145,24,17
2025-11-05 00:00:00+00:00,151,100,30,19
2025-11-06 00:00:00+00:00,205,159,15,11
2025-11-07 00:00:00+00:00,218,169,54,18
2025-11-08 00:00:00+00:00,133,108,14,6
2025-11-09 00:00:00+00:00,123,108,24,10
2025-11-10 00:00:00+00:00,172,154,74,28
2025-11-11 00:00:00+00:00,466,386,60,20
2025-11-12 00:00:00+00:00,294,201,56,18
2025-11-13 00:00:00+00:00,202,167,110,23
2025-11-14 00:00:00+00:00,216,168,48,24
2025-11-15 00:00:00+00:00,141,135,13,10
2025-11-16 00:00:00+00:00,152,122,25,10
2025-11-17 00:00:00+00:00,279,233,63,12
