time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-04 00:00:00+00:00,112,103,32,10
2025-10-05 00:00:00+00:00,131,100,58,9
2025-10-06 00:00:00+00:00,119,110,11,9
2025-10-07 00:00:00+00:00,153,144,29,14
2025-10-08 00:00:00+00:00,145,106,39,16
2025-10-09 00:00:00+00:00,199,172,24,13
2025-10-10 00:00:00+00:00,238,184,27,10
2025-10-11 00:00:00+00:00,140,121,33,15
2025-10-12 00:00:00+00:00,369,342,8,5
2025-10-13 00:00:00+00:00,237,213,21,15
2025-10-14 00:00:00+00:00,168,123,80,15
2025-10-15 00:00:00+00:00,174,111,60,23
2025-10-16 00:00:00+00:00,126,113,46,15
2025-10-17 00:00:00+00:00,61,41,33,14
