url_path,views_total,views_unique
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,242,98
/tianocore/edk2-libc,160,102
/tianocore/edk2-libc/tree/master/AppPkg,135,33
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,102,27
/tianocore/edk2-libc/tree/master/StdLib,100,22
/tianocore/edk2-libc/tree/master/AppPkg/Applications,97,23
/tianocore/edk2-libc/tree/master/StdLib/LibC,40,7
/tianocore/edk2-libc/tree/master,28,18
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Main,26,7
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8/PyMod-3.6.8,21,6
