time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-11 00:00:00+00:00,91,72,71,22
2023-09-12 00:00:00+00:00,59,39,187,14
2023-09-13 00:00:00+00:00,78,52,249,37
2023-09-14 00:00:00+00:00,96,64,98,12
2023-09-15 00:00:00+00:00,106,56,58,11
2023-09-16 00:00:00+00:00,37,29,55,12
2023-09-17 00:00:00+00:00,26,25,40,11
2023-09-18 00:00:00+00:00,51,34,101,21
2023-09-19 00:00:00+00:00,92,83,71,16
2023-09-20 00:00:00+00:00,156,95,88,17
2023-09-21 00:00:00+00:00,151,82,95,22
2023-09-22 00:00:00+00:00,81,47,105,15
2023-09-23 00:00:00+00:00,40,34,45,10
2023-09-24 00:00:00+00:00,32,31,105,10
