referrer,views_total,views_unique
github.com,141,17
Google,112,23
python.org,103,41
en.wikipedia.org,85,31
Bing,24,4
en.m.wikipedia.org,11,6
discuss.python.org,10,3
cn.bing.com,8,5
link.csdn.net,5,4
edk2.groups.io,3,1
