referrer,views_total,views_unique
github.com,201,32
Google,141,21
python.org,104,38
en.wikipedia.org,47,18
damn99.com,26,1
en.m.wikipedia.org,16,8
ithelp.ithome.com.tw,16,2
Bing,12,2
discuss.python.org,11,2
chipsec.github.io,6,3
