time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-25 00:00:00+00:00,5,4,12,8
2023-03-26 00:00:00+00:00,14,4,144,12
2023-03-27 00:00:00+00:00,81,17,71,15
2023-03-28 00:00:00+00:00,62,19,92,25
2023-03-29 00:00:00+00:00,55,18,69,18
2023-03-30 00:00:00+00:00,76,14,71,20
2023-03-31 00:00:00+00:00,77,24,142,20
2023-04-01 00:00:00+00:00,5,5,84,14
2023-04-02 00:00:00+00:00,6,6,15,5
2023-04-03 00:00:00+00:00,39,18,157,21
2023-04-04 00:00:00+00:00,46,18,42,16
2023-04-05 00:00:00+00:00,53,16,81,14
2023-04-06 00:00:00+00:00,47,17,91,22
2023-04-07 00:00:00+00:00,13,9,62,16
