referrer,views_total,views_unique
python.org,139,39
Google,116,14
en.wikipedia.org,100,15
github.com,47,10
tianocore.org,40,2
en.m.wikipedia.org,37,12
Bing,22,3
lab-z.com,12,3
ya.ru,9,1
blog.csdn.net,8,1
