time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-15 00:00:00+00:00,139,128,39,18
2026-01-16 00:00:00+00:00,156,130,16,10
2026-01-17 00:00:00+00:00,110,102,17,6
2026-01-18 00:00:00+00:00,132,120,21,9
2026-01-19 00:00:00+00:00,405,359,18,10
2026-01-20 00:00:00+00:00,134,116,40,19
2026-01-21 00:00:00+00:00,280,234,70,10
2026-01-22 00:00:00+00:00,166,134,26,18
2026-01-23 00:00:00+00:00,217,185,24,10
2026-01-24 00:00:00+00:00,119,101,32,13
2026-01-25 00:00:00+00:00,102,95,32,18
2026-01-26 00:00:00+00:00,129,125,31,17
2026-01-27 00:00:00+00:00,127,106,45,13
2026-01-28 00:00:00+00:00,248,187,95,18
