time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-26 00:00:00+00:00,298,267,33,12
2025-09-27 00:00:00+00:00,118,108,41,7
2025-09-28 00:00:00+00:00,139,106,10,5
2025-09-29 00:00:00+00:00,265,241,46,13
2025-09-30 00:00:00+00:00,484,417,25,11
2025-10-01 00:00:00+00:00,227,159,13,10
2025-10-02 00:00:00+00:00,127,101,19,13
2025-10-03 00:00:00+00:00,125,101,27,11
2025-10-04 00:00:00+00:00,112,103,32,10
2025-10-05 00:00:00+00:00,131,100,58,9
2025-10-06 00:00:00+00:00,119,110,11,9
2025-10-07 00:00:00+00:00,153,144,29,14
2025-10-08 00:00:00+00:00,145,106,39,16
2025-10-09 00:00:00+00:00,197,170,23,12
