url_path,views_total,views_unique
/tianocore/edk2-libc,138,74
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,104,90
/tianocore/edk2-libc/releases/tag/v3.6.8.1,62,16
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,36,22
/tianocore/edk2-libc/tree/master/AppPkg,31,21
/tianocore/edk2-libc/tree/master,27,19
/tianocore/edk2-libc/tree/master/StdLib,17,11
/tianocore/edk2-libc/tree/master/AppPkg/Applications,16,12
/tianocore/edk2-libc/tree/master/StdLib/LibC,8,5
/tianocore/edk2-libc/tree/v3.6.8.1,6,5
