url_path,views_total,views_unique
/tianocore/edk2-libc,106,74
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,86,60
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,64,26
/tianocore/edk2-libc/tree/master/AppPkg/Applications,45,20
/tianocore/edk2-libc/tree/master/AppPkg,31,16
/tianocore/edk2-libc/tree/master/StdLib,20,15
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8/Lib,13,6
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python,11,7
/tianocore/edk2-libc/tree/master/StdLib/LibC,9,7
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8/PyMod-3.6.8,8,5
