time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-14 00:00:00+00:00,100,60,207,25
2024-05-15 00:00:00+00:00,103,52,113,18
2024-05-16 00:00:00+00:00,104,54,102,26
2024-05-17 00:00:00+00:00,95,53,120,22
2024-05-18 00:00:00+00:00,56,44,57,9
2024-05-19 00:00:00+00:00,234,46,28,10
2024-05-20 00:00:00+00:00,98,58,97,26
2024-05-21 00:00:00+00:00,137,82,100,20
2024-05-22 00:00:00+00:00,119,83,78,17
2024-05-23 00:00:00+00:00,113,65,132,21
2024-05-24 00:00:00+00:00,268,55,74,16
2024-05-25 00:00:00+00:00,43,35,43,9
2024-05-26 00:00:00+00:00,33,33,9,5
2024-05-27 00:00:00+00:00,106,55,100,17
