referrer,views_total,views_unique
Google,175,29
python.org,112,51
github.com,100,22
discuss.python.org,55,5
en.wikipedia.org,30,22
Bing,12,2
cn.bing.com,11,2
ithelp.ithome.com.tw,10,3
yuanbao.tencent.com,7,1
en.m.wikipedia.org,5,5
