url_path,views_total,views_unique
/tianocore/edk2-libc,161,89
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,99,73
/tianocore/edk2-libc/tree/master/StdLib,52,20
/tianocore/edk2-libc/tree/master,39,17
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,35,17
/tianocore/edk2-libc/tree/master/AppPkg,33,22
/tianocore/edk2-libc/tree/master/AppPkg/Applications,25,17
/tianocore/edk2-libc/issues,19,5
/tianocore/edk2-libc/releases/tag/v3.6.8.1,10,9
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python,8,6
