referrer,views_total,views_unique
python.org,204,45
github.com,111,16
en.wikipedia.org,106,30
Google,67,14
statics.teams.cdn.office.net,42,2
en.m.wikipedia.org,29,13
tianocore.org,23,1
edk2.groups.io,17,4
discuss.python.org,12,3
Bing,6,1
