referrer,views_total,views_unique
Google,197,29
python.org,97,32
github.com,93,30
DuckDuckGo,63,3
en.wikipedia.org,46,18
Bing,36,6
teams.microsoft.com,31,3
en.m.wikipedia.org,29,11
discuss.python.org,29,6
ithelp.ithome.com.tw,26,2
