referrer,views_total,views_unique
Google,94,21
python.org,84,48
github.com,78,20
tianocore.org,33,1
Bing,22,5
en.wikipedia.org,21,11
discuss.python.org,17,5
cn.bing.com,16,4
chipsec.github.io,9,8
en.m.wikipedia.org,9,8
