referrer,views_total,views_unique
python.org,137,42
Google,112,24
github.com,59,15
en.wikipedia.org,51,26
chipsec.github.io,39,6
discuss.python.org,39,4
en.m.wikipedia.org,16,10
cn.bing.com,10,3
Bing,9,3
damn99.com,8,2
