referrer,views_total,views_unique
Google,214,18
discuss.python.org,194,2
cn.bing.com,115,4
github.com,109,22
en.wikipedia.org,84,24
en.m.wikipedia.org,65,13
python.org,53,17
red-arrows.cn,16,1
Bing,14,5
chipsec.github.io,10,4
