time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-05 00:00:00+00:00,85,52,200,25
2025-02-06 00:00:00+00:00,80,40,102,18
2025-02-07 00:00:00+00:00,140,76,325,22
2025-02-08 00:00:00+00:00,43,32,34,16
2025-02-09 00:00:00+00:00,37,32,29,14
2025-02-10 00:00:00+00:00,91,78,51,17
2025-02-11 00:00:00+00:00,109,81,42,16
2025-02-12 00:00:00+00:00,105,66,91,30
2025-02-13 00:00:00+00:00,117,67,112,35
2025-02-14 00:00:00+00:00,63,42,46,14
2025-02-15 00:00:00+00:00,45,39,80,22
2025-02-16 00:00:00+00:00,43,41,10,8
2025-02-17 00:00:00+00:00,49,36,145,25
2025-02-18 00:00:00+00:00,59,50,111,27
