time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-02 00:00:00+00:00,284,227,40,3
2026-01-03 00:00:00+00:00,129,102,18,8
2026-01-04 00:00:00+00:00,108,103,20,10
2026-01-05 00:00:00+00:00,156,107,45,15
2026-01-06 00:00:00+00:00,269,201,36,13
2026-01-07 00:00:00+00:00,173,120,60,22
2026-01-08 00:00:00+00:00,148,124,56,12
2026-01-09 00:00:00+00:00,203,182,10,6
2026-01-10 00:00:00+00:00,100,94,19,11
2026-01-11 00:00:00+00:00,102,95,13,8
2026-01-12 00:00:00+00:00,245,207,52,22
2026-01-13 00:00:00+00:00,177,159,86,17
2026-01-14 00:00:00+00:00,211,182,54,15
2026-01-15 00:00:00+00:00,139,128,39,18
