url_path,views_total,views_unique
/tianocore/edk2-libc,122,78
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,76,68
/tianocore/edk2-libc/tree/master/AppPkg,40,22
/tianocore/edk2-libc/tree/master,34,20
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,27,17
/tianocore/edk2-libc/tree/master/StdLib,27,14
/tianocore/edk2-libc/tree/master/AppPkg/Applications,26,16
/tianocore/edk2-libc/releases/tag/v3.6.8.1,11,9
/tianocore/edk2-libc/tree/master/StdLib/LibC,11,7
/tianocore/edk2-libc/issues,9,5
