time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-03 00:00:00+00:00,75,50,41,14
2024-06-04 00:00:00+00:00,56,41,42,19
2024-06-05 00:00:00+00:00,59,39,87,21
2024-06-06 00:00:00+00:00,63,42,74,22
2024-06-07 00:00:00+00:00,51,37,47,15
2024-06-08 00:00:00+00:00,37,32,10,7
2024-06-09 00:00:00+00:00,35,35,57,14
2024-06-10 00:00:00+00:00,83,39,36,13
2024-06-11 00:00:00+00:00,86,48,288,23
2024-06-12 00:00:00+00:00,63,39,65,14
2024-06-13 00:00:00+00:00,67,42,159,18
2024-06-14 00:00:00+00:00,41,35,92,23
2024-06-15 00:00:00+00:00,4,3,26,14
2024-06-16 00:00:00+00:00,6,6,12,8
