referrer,views_total,views_unique
python.org,110,56
Google,106,29
github.com,59,29
Bing,47,4
en.wikipedia.org,36,19
edk2.groups.io,26,1
discuss.python.org,22,6
ithelp.ithome.com.tw,12,3
en.m.wikipedia.org,11,8
chipsec.github.io,7,5
