time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-05 00:00:00+00:00,53,16,81,14
2023-04-06 00:00:00+00:00,47,17,91,22
2023-04-07 00:00:00+00:00,14,9,68,17
2023-04-08 00:00:00+00:00,3,3,51,6
2023-04-09 00:00:00+00:00,8,8,47,9
2023-04-10 00:00:00+00:00,7,6,85,14
2023-04-11 00:00:00+00:00,41,15,72,15
2023-04-12 00:00:00+00:00,48,17,130,16
2023-04-13 00:00:00+00:00,69,20,136,28
2023-04-14 00:00:00+00:00,32,16,34,10
2023-04-15 00:00:00+00:00,7,7,12,8
2023-04-16 00:00:00+00:00,7,7,8,7
2023-04-17 00:00:00+00:00,42,14,95,22
2023-04-18 00:00:00+00:00,56,20,83,19
